hidden_layers,dropout_rate,learning_rate,activation,batch_size,val_acc
"[256, 256]",0.207,0.00155,relu,128,0.8733
"[512, 256, 512]",0.04,0.00304,relu,128,0.8708
"[256, 64]",0.175,0.00314,relu,128,0.8698
"[256, 128, 256]",0.019,0.00126,tanh,32,0.869
"[64, 256, 128, 128]",0.034,0.00062,elu,128,0.8648
[512],0.346,0.00248,relu,64,0.864
"[64, 512]",0.192,0.00182,relu,128,0.8634
"[64, 64, 64]",0.045,0.00337,elu,32,0.8626
[128],0.13,0.00094,relu,32,0.8624
"[512, 512, 64]",0.096,0.0005,tanh,64,0.8611
"[512, 64]",0.045,0.00421,relu,16,0.8611
"[64, 128, 64]",0.145,0.00331,relu,64,0.861
"[128, 128, 64]",0.326,0.00092,relu,32,0.8609
"[256, 512]",0.055,0.00471,elu,128,0.8601
"[256, 512, 512]",0.208,0.00108,elu,32,0.8593
"[512, 64, 128]",0.009,0.00819,relu,64,0.8579
"[64, 256, 64, 128]",0.17,0.00232,elu,128,0.8573
"[128, 256, 512]",0.0,0.00241,elu,16,0.8569
[64],0.081,0.0066,elu,32,0.8567
[256],0.05,0.00574,tanh,16,0.8538
[64],0.182,0.00695,relu,64,0.8538
"[256, 64]",0.12,0.00024,tanh,16,0.8534
"[256, 256, 512]",0.344,0.00089,tanh,32,0.8525
"[64, 512, 256, 64]",0.282,0.00147,relu,128,0.8525
"[64, 256]",0.141,0.00085,tanh,32,0.8524
[512],0.09,0.00717,tanh,128,0.8524
"[64, 64, 256]",0.182,0.00115,relu,16,0.8522
[128],0.37,0.00992,relu,32,0.8514
"[256, 64, 128]",0.217,0.00149,tanh,64,0.8514
"[256, 512, 64]",0.082,0.00021,elu,64,0.8514
"[512, 128, 128]",0.293,0.00023,tanh,16,0.8504
[128],0.103,0.00196,tanh,32,0.8496
[64],0.316,0.00483,relu,32,0.8493
"[512, 256]",0.078,0.0036,elu,32,0.8461
"[128, 64, 256]",0.103,0.0054,tanh,64,0.8454
[256],0.095,0.00481,elu,128,0.8453
"[128, 64]",0.091,0.00783,tanh,64,0.8447
"[64, 256]",0.224,0.00132,elu,64,0.8445
[256],0.069,0.0078,tanh,16,0.8439
[512],0.279,0.00568,tanh,16,0.8437
"[64, 512]",0.298,0.0021,tanh,16,0.8436
[512],0.298,0.00973,relu,16,0.8435
"[256, 64, 256, 64]",0.29,0.00532,relu,128,0.8418
"[256, 128, 128]",0.24,0.0042,relu,32,0.8416
[64],0.358,0.00457,relu,16,0.8393
"[256, 64, 256, 512]",0.369,0.0012,tanh,64,0.8393
[256],0.244,0.00913,elu,64,0.8392
[128],0.324,0.00802,tanh,64,0.8392
"[64, 64]",0.303,0.00204,tanh,16,0.8388
"[128, 64]",0.387,0.00605,elu,64,0.8384
[256],0.367,0.0066,elu,64,0.8384
[64],0.329,0.00686,elu,16,0.8384
[64],0.086,0.00099,tanh,32,0.8381
"[512, 512]",0.007,0.00877,relu,16,0.8379
[64],0.197,0.00428,tanh,128,0.8375
"[128, 128]",0.344,0.00943,tanh,128,0.8375
[128],0.354,0.00514,tanh,64,0.8373
"[512, 256, 512, 64]",0.12,0.00557,elu,64,0.8373
[256],0.312,0.00403,elu,128,0.8373
"[64, 64, 64, 512]",0.345,0.00223,relu,128,0.8361
"[512, 512, 128]",0.169,0.00362,elu,32,0.8361
"[256, 64]",0.093,0.00745,elu,16,0.835
"[512, 256, 512, 512]",0.108,0.00598,relu,32,0.8336
"[128, 64, 512]",0.269,0.00418,tanh,64,0.8328
"[128, 256]",0.283,0.00591,tanh,32,0.8323
[128],0.127,0.00136,tanh,128,0.8312
"[64, 128, 128, 256]",0.056,0.00396,tanh,32,0.8295
[64],0.353,0.00355,tanh,64,0.8295
[512],0.387,0.00653,elu,128,0.8276
"[128, 256]",0.391,0.00443,tanh,16,0.8264
"[512, 64, 64]",0.358,0.00422,elu,32,0.8255
"[64, 512]",0.32,0.00758,elu,64,0.8253
"[512, 128, 128]",0.194,0.00812,relu,32,0.823
"[512, 512]",0.377,0.00659,tanh,64,0.8223
"[64, 128, 64]",0.345,0.00064,elu,128,0.8218
"[64, 256, 512]",0.35,0.0035,relu,16,0.821
"[64, 64]",0.383,0.00757,relu,32,0.8207
"[64, 256, 128]",0.346,0.00493,tanh,32,0.8198
"[128, 128]",0.293,0.00777,relu,16,0.8187
"[512, 64]",0.275,0.00478,tanh,32,0.8163
"[256, 256]",0.311,0.0053,elu,32,0.8141
"[128, 256, 64, 128]",0.108,0.00644,relu,16,0.8135
"[512, 512]",0.179,0.00863,tanh,64,0.8134
"[512, 512, 64]",0.185,0.00758,tanh,128,0.8113
"[512, 64]",0.355,0.00807,tanh,64,0.8112
"[512, 64]",0.014,0.00774,tanh,64,0.8108
"[128, 64]",0.314,0.0002,elu,64,0.8095
[128],0.3,0.00028,elu,64,0.8072
"[256, 128, 256, 256]",0.151,0.00643,elu,32,0.8052
"[128, 512, 256]",0.118,0.00418,tanh,16,0.8052
"[64, 128, 128]",0.236,0.00784,elu,16,0.8032
"[128, 256, 128, 512]",0.136,0.00864,relu,32,0.7919
"[256, 256]",0.318,0.0092,tanh,16,0.7891
"[256, 128, 128]",0.308,0.00869,elu,32,0.7878
"[512, 256, 64, 256]",0.296,0.00426,tanh,32,0.7802
"[256, 128, 512, 128]",0.096,0.00805,tanh,64,0.7778
"[64, 128, 64, 256]",0.16,0.00511,tanh,16,0.7732
"[128, 512, 512]",0.35,0.00688,tanh,32,0.7663
"[64, 256, 256]",0.376,0.00592,relu,16,0.7425
"[64, 256, 256, 128]",0.352,0.00826,tanh,16,0.7107
